DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5021207,"1,2-Propylene oxide",75-56-9,GOOHAUXETOMSMM-UHFFFAOYSA-N,2-Methyloxirane,CC1CO1,"InChI=1/C3H6O/c1-3-2-4-3/h3H,2H2,1H3",C3H6O,58.08,58.041865,185,308,160,161,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020347,Coumaphos,56-72-4,BXNANOICGRISHX-UHFFFAOYSA-N,"O-(3-Chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl phosphorothioate",CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,"InChI=1S/C14H16ClO5PS/c1-4-17-21(22,18-5-2)20-10-6-7-11-9(3)13(15)14(16)19-12(11)8-10/h6-8H,4-5H2,1-3H3",C14H16ClO5PS,362.76,362.014459,168,164,121,3,1,237/1179,20.0,1179
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020647,Furfural,98-01-1,HYBBIBNJHNGZAN-UHFFFAOYSA-N,Furan-2-carbaldehyde,O=CC1=CC=CO1,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,C5H4O2,96.085,96.021129,206,1432,165,66,2,21/844,2.0,844
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6052164,Zinc ammonium chloride (x:x:x),52628-25-8,,,,,,, ,34,,,2,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4022284,2-Butanamine,13952-84-6,BHRZNVHARXXAHW-UHFFFAOYSA-N,Butan-2-amine,CCC(C)N,"InChI=1S/C4H11N/c1-3-4(2)5/h4H,3,5H2,1-2H3",C4H11N,73.139,73.089149,118,,155,2,1,7/400,2.0,400
https://comptox.epa.gov/dashboard/chemical/details/DTXSID101014310,Lead iodide (PbI2),10101-63-0,RQQRAHKHDFPBMC-UHFFFAOYSA-L,,[I-].[I-].[Pb++],InChI=1S/2HI.Pb/h2*1H;/q;;+2/p-2,I2Pb,461.0,461.785590,32,,19,1,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021274,Sodium dichromate,10588-01-9,KIEOKOFEPABQKJ-UHFFFAOYSA-N,Disodium mu-oxido(hexaoxido)dichromate(4-),[Na+].[Na+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O,InChI=1S/2Cr.2Na.7O/q;;2*+1;;;;;;2*-1,Cr2Na2O7,261.965,261.824953,83,94,40,179,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020102,Sodium arsenate,7631-89-2,,,,,,, ,43,245,,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0051659,Phosphorus pentasulfide,1314-80-3,CYQAYERJWZKYML-UHFFFAOYSA-N,"1lambda~5~,3lambda~5~,5lambda~5~,7lambda~5~-Tricyclo[3.3.1.1~3,7~]tetraphosphathiane-1,3,5,7-tetrathione",S=P12SP3(=S)SP(=S)(S1)SP(=S)(S2)S3,"InChI=1S/P4S10/c5-1-9-2(6)12-3(7,10-1)14-4(8,11-1)13-2",P4S10,444.5,443.615760,57,,44,1,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020446,Diuron,330-54-1,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,"N'-(3,4-Dichlorophenyl)-N,N-dimethylurea",CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)",C9H10Cl2N2O,233.09,232.017018,265,1257,165,52,2,119/1042,11.0,1042
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4020375,DDT,50-29-3,YVGGHNCTFXOJCH-UHFFFAOYSA-N,"1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-chlorobenzene)",ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",C14H9Cl5,354.48,351.914689,242,8063,139,48,1,301/1030,29.0,1030
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6022977,Ethylenediaminetetraacetic acid,60-00-4,KCXVZYZYPLLWCC-UHFFFAOYSA-N,"2,2',2'',2'''-(Ethane-1,2-diyldinitrilo)tetraacetic acid",OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,"InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)",C10H16N2O8,292.244,292.090665,182,25251,257,492,1,12/238,5.0,238
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50894158,Cobalt(II) bromide,7789-43-7,BZRRQSJJPUGBAA-UHFFFAOYSA-L,Cobalt(2+) dibromide,Br[Co]Br,InChI=1S/2BrH.Co/h2*1H;/q;;+2/p-2,Br2Co,218.741,216.769870,40,,37,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7025219,Sodium dodecylbenzenesulfonate,25155-30-0,,,"[Na+].CCCCCCCCCCCC*.[O-]S(=O)(=O)C1=CC=CC=C1 |c:18,20,t:16,lp:14:3,16:2,17:2,m:13:21.22.23|",,,, ,160,331,,981,1,294/997,29.0,997
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8038770,Zinc acetate,557-34-6,DJWUNCQRNNEAKC-UHFFFAOYSA-L,Zinc diacetate,[Zn++].CC([O-])=O.CC([O-])=O,"InChI=1S/2C2H4O2.Zn/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2",C4H6O4Zn,183.47,181.955751,104,210,75,8,2,11/403,3.0,403
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6063199,"2,4,5-T Triethanolamine salt",3813-14-7,VTZDSNBPOOWJST-UHFFFAOYSA-N,"(2,4,5-Trichlorophenoxy)acetic acid--2,2',2''-nitrilotri(ethan-1-ol) (1/1)",OCC[NH+](CCO)CCO.[O-]C(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C8H5Cl3O3.C6H15NO3/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13;8-4-1-7(2-5-9)3-6-10/h1-2H,3H2,(H,12,13);8-10H,1-6H2",C14H20Cl3NO6,404.67,403.035620,21,,17,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020029,Acrylonitrile,107-13-1,NLHHRLWOUZZQLW-UHFFFAOYSA-N,Prop-2-enenitrile,C=CC#N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2",C3H3N,53.064,53.026549,238,1092,168,215,1,10/439,2.0,439
