CASRN,orig_source,reason,run_date
non_chem_record,FracFocus,bad format,2026-07-31
sysAppMeta,FracFocus,bad format,2026-07-31
non_chem_record,FracFocus,bad format,2026-08-29
sysAppMeta,FracFocus,bad format,2026-08-29
281741-28-8,CASRN,bad checksum,2026-08-29
129828-236-0,CASRN,bad format,2026-08-29
7732-1,CASRN,bad format,2026-08-29
312-843Q,CASRN,bad format,2026-08-29
668439-70-3,CASRN,bad checksum,2026-08-29
112125-02-9,CASRN,bad checksum,2026-08-29
331512-74-0,CASRN,bad checksum,2026-08-29
2111-30-8,CASRN,bad checksum,2026-08-29
2111-42-2,CASRN,bad checksum,2026-08-29
2101310-09-1,CASRN,bad checksum,2026-08-29
19003-06-9,CASRN,bad checksum,2026-08-29
232289-58-0,CASRN,bad checksum,2026-08-29
10034-94-8,CASRN,bad checksum,2026-08-29
567-56-1,CASRN,bad checksum,2026-08-29
546-239P,CASRN,bad format,2026-08-29
964-774T,CASRN,bad format,2026-08-29
632-916X,CASRN,bad format,2026-08-29
370714-66-8,CASRN,bad checksum,2026-08-29
167-56-1,CASRN,bad checksum,2026-08-29
778-521R,CASRN,bad format,2026-08-29
377-92-9,CASRN,bad checksum,2026-08-29
75538-94-3,CASRN,bad checksum,2026-08-29
1191-20-3,CASRN,bad checksum,2026-08-29
25538-94-3,CASRN,bad checksum,2026-08-29
17732-18-5,CASRN,bad checksum,2026-08-29
9813-58-7,CASRN,bad checksum,2026-08-29
15538-94-3,CASRN,bad checksum,2026-08-29
12-1443-43,CASRN,bad format,2026-08-29
181741-28-8,CASRN,bad checksum,2026-08-29
125987-30-8,CASRN,bad checksum,2026-08-29
231512-74-0,CASRN,bad checksum,2026-08-29
27732-18-5,CASRN,bad checksum,2026-08-29
568-249W,CASRN,bad format,2026-08-29
1876065-86-0,CASRN,bad checksum,2026-08-29
27647-14-5,CASRN,bad checksum,2026-08-29
261791-12-6,CASRN,bad checksum,2026-08-29
12101310-09-1,CASRN,bad format,2026-08-29
9003,CASRN,bad format,2026-08-29
131512-74-0,CASRN,bad checksum,2026-08-29
5475-67-9,CASRN,bad checksum,2026-08-29
1417986-34-2,CASRN,bad checksum,2026-08-29
168439-70-3,CASRN,bad checksum,2026-08-29
19003-05-8,CASRN,bad checksum,2026-08-29
757635-48-0,CASRN,bad checksum,2026-08-29
