casrn,orig_source
10102-44-0,Compounds of Concern (EHP)
105-05-5,Weisner 2025 appendix chem
106-98-9,Weisner 2025 appendix chem
108-08-7,Weisner 2025 appendix chem
109-67-1,Weisner 2025 appendix chem
109-99-9,Dave Brown PA SUMMA canister list
111059-81-5,FracFocus
12008-11-6,FracFocus
12275-00-2,FracFocus
123-86-4,Compounds of Concern (EHP)
129874-09-5,FracFocus
132106-79-7,FracFocus
133970-36-2,FracFocus
135620-11-0,FracFocus
135620-12-1,FracFocus
1382106-10-6,FracFocus
13864-80-7,FracFocus
139460-45-0,FracFocus
141-93-5,Weisner 2025 appendix chem
151006-64-3,FracFocus
156-59-2,Dave Brown PA SUMMA canister list
162215-93-2,FracFocus
162687-73-2,FracFocus
16613-87-9,FracFocus
16780-28-2,new_components_2025_09
18271-58-4,FracFocus
18893-33-9,FracFocus
2365-27-7,FracFocus
26523-70-6,FracFocus
2730-62-3,Compounds of Concern (EHP)
38602-73-2,FracFocus
45296-14-8,FracFocus
45296-29-5,FracFocus
47325-53-1,FracFocus
540-84-1,Weisner 2025 appendix chem
565-59-3,Weisner 2025 appendix chem
565-75-3,Weisner 2025 appendix chem
589-34-4,Weisner 2025 appendix chem
589-81-1,Weisner 2025 appendix chem
590-18-1,Weisner 2025 appendix chem
591-76-4,Weisner 2025 appendix chem
591-78-6,Dave Brown PA SUMMA canister list
6005-61-4,FracFocus
622-96-8,Dave Brown PA SUMMA canister list
624-64-6,Weisner 2025 appendix chem
627-20-3,Weisner 2025 appendix chem
646-04-8,Weisner 2025 appendix chem
66085-50-5,FracFocus
66590-44-1,FracFocus
687610-10-2,FracFocus
736878-20-9,FracFocus
765847-53-8,FracFocus
776258-34-5,FracFocus
791555-47-0,FracFocus
791750-27-1,FracFocus
8076-55-9,FracFocus
83529-76-4,FracFocus
932382-42-8,FracFocus
94928-31-1,FracFocus
